T;NEOS;UNG;FPOE;WBER;SPOE;ABG;SLP;SPR;WWW;WV;WIFF;WK;GFW;BZ;OEVP;M;GRUE;FREIE;ANDAS
4;42;23;54;688;164;445;0;20;0;1;0;2;0;7;34;0;117;0;11
4;58;7;112;647;104;430;0;31;1;1;0;18;0;23;92;0;51;0;5
4;6;21;244;958;225;551;0;56;0;1;10;16;1;21;34;0;8;0;2
4;34;5;59;713;171;450;0;3;1;1;0;3;1;2;41;0;128;0;10
4;0;0;0;0;0;0;0;102;0;1;0;18;0;23;0;0;0;0;0
4;67;9;160;1023;241;679;0;21;2;1;0;9;0;14;115;0;81;0;4
4;16;23;129;792;134;407;0;69;0;1;0;4;0;3;57;0;41;0;7
4;9;11;228;930;218;529;0;125;1;1;0;5;22;10;20;0;13;0;7
4;37;12;136;660;141;423;0;24;2;1;0;18;0;23;52;0;35;0;8
4;54;10;155;802;147;565;0;10;3;1;0;8;0;13;141;0;49;0;6
4;41;43;229;871;243;657;0;111;0;1;0;17;3;22;51;0;45;0;2
4;276;62;1168;0;2275;5425;0;50;8;1;0;10;21;15;399;0;1138;0;78
4;15;6;98;562;107;323;0;61;2;1;0;3;0;2;22;0;62;0;11
4;24;11;123;720;178;422;0;34;0;1;0;17;4;22;33;1;46;0;2
4;15;20;227;1030;233;588;0;50;1;1;0;9;2;14;39;0;44;0;7
4;37;2;92;882;179;476;0;3;2;1;0;12;5;17;30;0;118;0;11
4;39;4;70;839;198;517;0;9;1;1;0;2;2;8;62;0;131;0;10
4;18;14;155;977;176;485;0;11;1;1;0;15;12;20;37;0;69;0;3
4;26;7;92;723;167;433;0;64;1;1;0;3;4;2;19;0;111;0;6
4;46;28;93;757;157;438;0;6;1;1;0;14;3;19;48;0;56;0;6
4;31;15;111;844;190;484;0;13;0;1;0;11;5;16;26;0;100;0;6
4;28;7;85;546;160;344;0;90;2;1;0;3;0;2;26;0;34;0;2
4;15;4;63;0;114;261;0;0;0;1;0;3;0;2;14;0;47;0;4
4;11;3;43;0;58;171;0;0;0;1;0;10;1;15;14;0;37;0;4
4;21;14;184;996;256;596;0;54;3;1;0;9;7;14;38;0;71;0;2
4;27;11;96;827;178;470;0;6;0;1;0;12;2;17;40;0;111;0;5
4;20;21;187;817;257;601;0;1;1;1;0;5;15;10;47;0;48;0;5
4;21;12;229;690;177;484;0;54;0;1;0;6;1;11;21;0;18;0;5
4;12;21;180;614;120;390;0;80;1;1;0;18;9;23;29;0;18;0;0
4;37;6;156;690;142;487;0;131;0;1;0;5;0;10;95;0;47;0;4
4;21;22;201;749;233;539;0;56;2;1;0;18;6;23;29;0;19;0;6
4;21;10;63;692;215;393;0;19;1;1;0;3;3;2;25;0;52;0;3
4;70;4;98;587;86;388;0;45;0;1;0;14;0;19;95;0;32;0;3
4;35;19;339;1030;290;781;0;127;1;1;0;17;1;22;54;0;38;0;4
4;35;23;123;984;207;580;0;18;1;1;0;1;1;4;65;0;121;0;4
4;17;2;61;568;149;307;0;2;0;1;0;3;1;2;13;0;55;0;9
4;18;4;89;543;139;330;0;76;0;1;0;3;5;2;24;0;47;0;4
4;819;100;1796;0;3644;9405;0;76;15;1;0;4;98;3;1209;0;1628;0;96
4;9;16;131;708;164;421;0;30;0;1;0;10;16;15;26;0;51;0;8
4;36;5;56;613;114;347;0;29;2;1;0;2;1;7;31;0;96;0;6
4;7;33;237;901;207;522;0;41;1;1;0;6;11;11;18;0;5;0;3
4;30;15;150;721;155;481;0;49;0;1;0;17;0;22;82;0;43;0;6
4;35;20;96;766;178;479;0;15;1;1;0;11;15;16;20;0;102;0;12
4;29;20;66;633;136;373;0;18;0;1;0;2;0;7;35;0;82;0;5
4;58;33;120;1053;217;635;0;19;1;1;0;1;2;4;69;0;119;0;16
4;18;6;112;710;166;422;0;35;1;1;0;7;2;12;42;0;69;0;6
4;8;3;119;576;136;304;0;29;1;1;0;6;7;11;11;0;13;0;6
4;676;70;1528;0;2527;7177;0;75;18;1;0;14;28;19;1473;0;808;0;49
4;9;6;134;616;123;309;0;34;1;1;5;16;13;21;7;0;9;0;2
4;44;14;228;1116;280;688;0;46;0;1;0;7;6;12;60;0;51;0;5
4;1;15;176;722;177;403;0;74;2;1;7;16;14;21;5;0;3;0;3
4;5;6;35;211;57;153;0;130;0;1;0;5;1;10;48;0;1;0;0
4;21;9;276;902;238;601;0;89;0;1;6;16;1;21;24;0;23;0;3
4;30;14;199;880;215;595;0;136;3;1;0;5;3;10;79;0;44;0;8
4;17;11;170;963;208;532;0;62;4;1;0;9;3;14;27;0;80;0;12
4;6;46;275;997;215;586;0;106;0;1;16;16;2;21;14;0;9;0;3
